flowKey,minFiat,meanFiat,maxFiat,stdFiat,minBiat,meanBiat,maxBiat,stdBiat,minFpkt,meanFpkt,maxFpkt,stdFpkt,minBpkt,meanBpkt,maxBpkt,stdBpkt,protocol,duration,hasRTCP,fPackets,fBytes,bPackets,bBytes,label
"TCP: 183.2.143.214:8081,192.168.190.253:55461",64,19021.666666666668,56893,26779.082637179505,0,0,0,0,0,340,1360,588.8972745734183,0,0,0,0,6,57065,0,4,1360,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:57220",18,348480.6666666667,1008273,466789.8579777509,0,0,0,0,0,0,0,0,0,0,0,0,6,1045442,0,4,0,1,0,No Label
"TCP: 109.244.249.25:8010,172.16.105.71:64610",421,67531.33333333333,201732,94894.20179102386,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,202594,0,4,312,1,0,No Label
"TCP: 172.16.105.71:64547,175.27.12.224:8081",13,13161.666666666666,39383,18541.308571822963,0,0,0,0,0,302.75,1211,524.3783819914776,0,0,0,0,6,39485,0,4,1211,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:57224",58,12162.333333333334,36344,17099.02403322742,0,0,0,0,0,346.75,1387,600.5886175245082,0,0,0,0,6,36487,0,4,1387,1,0,No Label
"TCP: 172.16.105.71:65135,175.27.0.70:8081",75,16837.333333333332,50355,23700.569561838714,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,50512,0,4,1424,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:64647",217,58507,116797,58290,60531,60531,60531,0,0,172.33333333333334,517,243.71613724896335,0,0,0,0,6,177044,0,3,517,2,0,No Label
"TCP: 172.16.105.71:64487,175.27.12.224:8081",11,11863.666666666666,35496,16710.609730214983,0,0,0,0,0,326.75,1307,565.9476013731306,0,0,0,0,6,35591,0,4,1307,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:57210",7,14408.666666666666,43076,20270.94183526974,0,0,0,0,0,426.75,1424,587.2398892275626,0,0,0,0,6,43226,0,4,1707,1,0,No Label
"TCP: 172.16.105.71:64542,175.27.12.224:8081",21,14840,44354,20869.610937117795,0,0,0,0,0,282.75,1131,489.73736584010004,0,0,0,0,6,44520,0,4,1131,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:57086",22,8836.333333333334,26164,12253.12679368912,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,26509,0,4,517,1,0,No Label
"TCP: 117.62.243.162:80,172.16.105.71:57066",921,15137.666666666666,25232,10344.125686698815,0,0,0,0,0,71.5,286,123.84163274117472,0,0,0,0,6,45413,0,4,286,1,0,No Label
"TCP: 109.244.228.96:443,172.16.105.71:56740",54,15432.333333333334,46162,21729.15847938484,0,0,0,0,0,79,316,136.8320137979413,0,0,0,0,6,46297,0,4,316,1,0,No Label
"TCP: 172.16.105.71:57853,175.27.204.77:8003",43,21011.333333333332,62806,29553.34907511424,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,63034,0,4,312,1,0,No Label
"TCP: 172.16.105.71:57142,175.27.0.70:8081",76,19552,39028,19476,40907,40907,40907,0,0,457,1371,646.2955980045044,0,0,0,0,6,79867,0,3,1371,2,0,No Label
"TCP: 109.244.154.131:443,172.16.105.71:57510",15,24663,63677,27904.587770950257,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,73989,0,4,517,1,0,No Label
"TCP: 172.16.105.71:65086,175.27.0.70:8081",132,29591.5,59051,29459.5,60035,60035,60035,0,0,419.6666666666667,1259,593.4982916759088,0,0,0,0,6,119012,0,3,1259,2,0,No Label
"TCP: 172.16.105.71:64435,180.101.245.60:80",173,23548.5,46924,23375.5,161700,161700,161700,0,0,95.33333333333333,286,134.82169294623506,0,0,0,0,6,208347,0,3,286,2,0,No Label
"TCP: 172.16.105.71:57143,175.27.0.70:8081",17,18491.666666666668,55379,26083.295821059288,0,0,0,0,0,338.75,1355,586.7322110639572,0,0,0,0,6,55475,0,4,1355,1,0,No Label
"TCP: 172.16.105.71:56388,175.27.0.70:8081",18,17681.333333333332,52936,24928.831197809675,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,53044,0,4,1424,1,0,No Label
"TCP: 109.244.249.245:8016,172.16.105.71:56546",42,14164,42234,19848.61446046046,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,42492,0,4,312,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:65224",19,11540.333333333334,34522,16250.511424430788,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,34621,0,4,1424,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:65257",152,38390,76628,38238,53450,53450,53450,0,0,473,1419,668.9230150024739,0,111,222,111,6,130001,0,3,1419,2,222,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55593",24,40052.333333333336,119996,56528.72763668241,0,0,0,0,0,340,1360,588.8972745734183,0,0,0,0,6,120157,0,4,1360,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:64654",21,21896,65436,30787.54861953124,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,65688,0,4,517,1,0,No Label
"TCP: 172.16.105.71:56387,175.27.0.70:8081",32,12072.333333333334,36071,16969.652959196177,0,0,0,0,0,330.75,1323,572.8758046034062,0,0,0,0,6,36217,0,4,1323,1,0,No Label
"TCP: 172.16.105.71:65180,175.27.0.70:8081",190,39483,78776,39293,34455,34455,34455,0,0,382.3333333333333,1147,540.7009853473133,0,0,0,0,6,113155,0,3,1147,2,0,No Label
"TCP: 109.244.249.223:8017,172.16.105.71:57428",34,13590.666666666666,40591,19092.174528382624,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,40772,0,4,312,1,0,No Label
"TCP: 172.16.105.71:57063,180.101.245.60:8080",418,15270.333333333334,26984,11070.275827136778,0,0,0,0,0,71.5,286,123.84163274117472,0,0,0,0,6,45811,0,4,286,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:64675",157,20839,61932,29057.34958090064,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,62517,0,4,517,1,0,No Label
"TCP: 119.29.29.98:80,172.16.105.71:64457",56,75083.66666666667,225068,106054.94313274081,0,0,0,0,0,88.25,353,152.85348376795343,0,0,0,0,6,225251,0,4,353,1,0,No Label
"TCP: 119.147.6.94:8081,192.168.190.253:55416",30,27356,81995,38635.60778176871,0,0,0,0,0,242.75,971,420.455333537345,0,0,0,0,6,82068,0,4,971,1,0,No Label
"TCP: 106.55.130.33:443,172.16.105.63:61199",57,27824.333333333332,83176,39139.610152489884,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,83473,0,4,517,1,0,No Label
"TCP: 42.81.183.203:443,172.16.105.71:57078",234,14490.333333333334,33812,14168.361992677754,0,0,0,0,0,71.5,286,123.84163274117472,0,0,0,0,6,43471,0,4,286,1,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55599",216,19070,56700,26608.447230156067,0,0,0,0,0,322.75,1291,559.0193981428552,0,0,0,0,6,57210,0,4,1291,1,0,No Label
"TCP: 172.16.105.71:56373,175.27.0.70:8081",17,26709.666666666668,80022,37697.524201051834,0,0,0,0,0,326.75,1307,565.9476013731306,0,0,0,0,6,80129,0,4,1307,1,0,No Label
"TCP: 117.62.243.162:80,192.168.190.253:55444",246,46653.333333333336,97769,39952.55673365042,0,0,0,0,0,71.5,286,123.84163274117472,0,0,0,0,6,139960,0,4,286,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.63:61538",18,29705.333333333332,89012,41936.155358142,0,0,0,0,0,242.5,970,420.0223208354527,0,0,0,0,6,89116,0,4,970,1,0,No Label
